|       date | actual_mean_temp | actual_min_temp | actual_max_temp | average_min_temp | average_max_temp | record_min_temp | record_max_temp | record_min_temp_year | record_max_temp_year | actual_precipitation | average_precipitation | record_precipitation |
| ---------- | ---------------- | --------------- | --------------- | ---------------- | ---------------- | --------------- | --------------- | -------------------- | -------------------- | -------------------- | --------------------- | -------------------- |
| 2014-07-01 |               84 |              74 |              94 |               75 |               93 |              66 |             102 |                1,985 |                1,980 |                 0.00 |                  0.16 |                 1.40 |
| 2014-07-02 |               84 |              74 |              94 |               75 |               93 |              66 |             104 |                1,924 |                1,894 |                 0.00 |                  0.16 |                 5.43 |
| 2014-07-03 |               84 |              73 |              94 |               75 |               93 |              66 |             100 |                1,977 |                1,980 |                 0.00 |                  0.16 |                 1.29 |
| 2014-07-04 |               82 |              72 |              91 |               75 |               93 |              66 |             101 |                1,910 |                2,009 |                 0.48 |                  0.15 |                 3.49 |
| 2014-07-05 |               82 |              73 |              90 |               75 |               93 |              66 |             102 |                1,924 |                2,009 |                 0.31 |                  0.16 |                 3.04 |
| 2014-07-06 |               81 |              72 |              89 |               75 |               93 |              63 |             101 |                1,970 |                2,005 |                 0.01 |                  0.15 |                 1.73 |
| 2014-07-07 |               84 |              74 |              93 |               75 |               93 |              62 |             100 |                1,972 |                1,980 |                 0.08 |                  0.15 |                 2.32 |
| 2014-07-08 |               83 |              74 |              92 |               75 |               93 |              68 |             104 |                1,892 |                1,980 |                 0.00 |                  0.15 |                 1.49 |
| 2014-07-09 |               85 |              74 |              95 |               75 |               93 |              64 |             102 |                1,905 |                1,980 |                 0.00 |                  0.14 |                 2.39 |
| 2014-07-10 |               83 |              73 |              93 |               75 |               93 |              65 |             101 |                1,893 |                1,980 |                 0.00 |                  0.14 |                 1.75 |
| 2014-07-11 |               83 |              72 |              94 |               75 |               93 |              64 |             103 |                1,905 |                1,980 |                 0.00 |                  0.13 |                 3.08 |
| 2014-07-12 |               84 |              74 |              94 |               75 |               93 |              65 |             104 |                1,891 |                1,980 |                 0.00 |                  0.12 |                 5.19 |
| 2014-07-13 |               87 |              77 |              96 |               75 |               94 |              66 |             102 |                1,895 |                1,980 |                 0.00 |                  0.13 |                 5.40 |
| 2014-07-14 |               86 |              76 |              96 |               75 |               94 |              62 |             103 |                1,990 |                1,980 |                 0.00 |                  0.12 |                 2.94 |
| 2014-07-15 |               82 |              75 |              89 |               75 |               94 |              64 |             103 |                1,967 |                2,000 |                 0.06 |                  0.12 |                 4.32 |
| 2014-07-16 |               82 |              73 |              90 |               75 |               94 |              66 |             104 |                1,895 |                1,980 |                 0.00 |                  0.12 |                 2.04 |
| 2014-07-17 |               83 |              76 |              89 |               75 |               94 |              67 |             104 |                1,974 |                1,980 |                 0.39 |                  0.10 |                 2.23 |
| 2014-07-18 |               81 |              75 |              87 |               75 |               94 |              67 |             102 |                1,974 |                1,980 |                 0.04 |                  0.11 |                 2.85 |
| 2014-07-19 |               79 |              72 |              85 |               75 |               94 |              68 |             102 |                1,974 |                1,980 |                 0.00 |                  0.11 |                 1.51 |
| 2014-07-20 |               83 |              73 |              93 |               75 |               94 |              69 |             102 |                1,970 |                2,000 |                 0.01 |                  0.11 |                 2.08 |
| 2014-07-21 |               87 |              77 |              96 |               75 |               94 |              65 |             101 |                1,989 |                2,000 |                 0.00 |                  0.10 |                 1.09 |
| 2014-07-22 |               87 |              77 |              96 |               75 |               94 |              67 |             101 |                1,988 |                2,000 |                 0.00 |                  0.10 |                 2.78 |
| 2014-07-23 |               86 |              76 |              95 |               75 |               94 |              64 |             101 |                1,970 |                1,980 |                 0.07 |                  0.11 |                 2.36 |
| 2014-07-24 |               84 |              73 |              94 |               75 |               94 |              68 |             101 |                1,972 |                1,954 |                 0.01 |                  0.10 |                 2.09 |
| 2014-07-25 |               85 |              74 |              95 |               75 |               94 |              65 |             102 |                1,894 |                1,964 |                 0.00 |                  0.10 |                 3.74 |
